10 7
0     2.29580000e-03 6.25066300e-02	2.86970000e-06	2.00000000e-01	0.00000000e+00	2.86971000e-06
1200  2.85151584e-01 6.04525989e-03	1.00284503e-04	2.06733065e-01	2.74605735e-02	9.35330091e-05
2400  2.14856089e-01 4.67254167e-02	1.79197784e-04	1.99406799e-01	2.70619733e-03	1.84110753e-04
3600  6.11958154e-02 7.96070475e-02	1.72640353e-04	2.19442396e-01	1.84027080e-03	1.84084216e-04
4800  1.04769336e-02 7.52259429e-02	1.19494357e-04	1.89450425e-01	8.90784954e-04	1.08724849e-04
6000  3.68860103e-02 5.50071322e-02	8.15826667e-05	2.02996304e-01	9.41070724e-04	7.35164640e-05
7200  1.00267917e-01 4.02166193e-02	7.62651063e-05	1.93647090e-01	1.20028964e-03	8.74914308e-05
8400  1.28699567e-01 4.64258781e-02	1.09271431e-04	2.04192424e-01	1.35480399e-03	1.11114073e-04
9600  8.66715529e-02 5.37180718e-02	1.24402315e-04	2.05458589e-01	9.85623346e-04	1.09523784e-04
10800 6.44862790e-02 5.19641891e-02	1.08662634e-04	1.85225388e-01	1.34317912e-03	1.06537077e-04
